"","KO","names","Pathway"
"14","K00014","shikimate dehydrogenase [EC:1.1.1.25]","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
"15","K00015","glyoxylate reductase [EC:1.1.1.26]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"16","K00016","L-lactate dehydrogenase [EC:1.1.1.27]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Organismal Systems; Endocrine system; Glucagon signaling pathway | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"17","K00018","glycerate dehydrogenase [EC:1.1.1.29]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"18","K00019","3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies"
"19","K00020","3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation"
"20","K00021","hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Organismal Systems; Digestive system; Bile secretion"
"21","K00022","3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Lipid metabolism; Fatty acid elongation | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation | Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation"
"22","K00023","acetoacetyl-CoA reductase [EC:1.1.1.36]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"23","K00024","malate dehydrogenase [EC:1.1.1.37]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism"
"24","K00027","malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Environmental Information Processing; Signal transduction; Two-component system"
"25","K00029","malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms"
"26","K00030","isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)"
"27","K00031","isocitrate dehydrogenase [EC:1.1.1.42]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Cellular Processes; Transport and catabolism; Peroxisome"
"28","K00032","phosphogluconate 2-dehydrogenase [EC:1.1.1.43]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism"
"29","K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism"
"30","K00034","glucose 1-dehydrogenase [EC:1.1.1.47]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"31","K00035","D-galactose 1-dehydrogenase [EC:1.1.1.48]","Metabolism; Carbohydrate metabolism; Galactose metabolism"
"32","K00036","glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Metabolism of other amino acids; Glutathione metabolism | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"33","K00038","3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]","Metabolism; Lipid metabolism; Steroid hormone biosynthesis"
"34","K00039","ribitol 2-dehydrogenase [EC:1.1.1.56]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"35","K00040","fructuronate reductase [EC:1.1.1.57]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"36","K00041","tagaturonate reductase [EC:1.1.1.58]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"37","K00042","2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"38","K00043","4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]","Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"39","K00044","17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]","Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Organismal Systems; Endocrine system; Ovarian steroidogenesis"
"40","K00045","mannitol 2-dehydrogenase [EC:1.1.1.67]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"41","K00046","gluconate 5-dehydrogenase [EC:1.1.1.69]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"42","K00048","lactaldehyde reductase [EC:1.1.1.77]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Propanoate metabolism"
"43","K00049","glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"44","K00050","hydroxypyruvate reductase [EC:1.1.1.81]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"45","K00052","3-isopropylmalate dehydrogenase [EC:1.1.1.85]","Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis"
"46","K00053","ketol-acid reductoisomerase [EC:1.1.1.86]","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
"47","K00054","hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis"
"48","K00055","aryl-alcohol dehydrogenase [EC:1.1.1.90]","Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"49","K00057","glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"50","K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]","Metabolism; Energy metabolism; Methane metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"51","K00059","3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","Metabolism; Lipid metabolism; Fatty acid biosynthesis | Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism | Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis | Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins"
"52","K00060","threonine 3-dehydrogenase [EC:1.1.1.103]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"53","K00061","11-cis-retinol dehydrogenase [EC:1.1.1.315]","Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism"
"54","K00064","D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism"
"55","K00065","2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions"
"56","K00066","GDP-mannose 6-dehydrogenase [EC:1.1.1.132]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism | Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Environmental Information Processing; Signal transduction; Two-component system"
"57","K00067","dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]","Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis"
"58","K00068","sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism"
"59","K00069","15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]","Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"60","K00072","sepiapterin reductase [EC:1.1.1.153]","Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"61","K00073","ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]","Metabolism; Nucleotide metabolism; Purine metabolism"
"62","K00074","3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation"
"63","K00075","UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism | Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"64","K00076","7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]","Metabolism; Lipid metabolism; Secondary bile acid biosynthesis"
"65","K00077","2-dehydropantoate 2-reductase [EC:1.1.1.169]","Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis"
"66","K00078","dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]","Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450"
"67","K00079","carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"68","K00081","carbonyl reductase 2 [EC:1.1.1.184]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450"
"69","K00082","5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]","Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism"
"70","K00083","cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]","Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis"
"71","K00084","carbonyl reductase 3 [EC:1.1.1.184]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450"
"72","K00086","1,3-propanediol dehydrogenase [EC:1.1.1.202]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism"
"73","K00087","xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]","Metabolism; Nucleotide metabolism; Purine metabolism"
"74","K00088","IMP dehydrogenase [EC:1.1.1.205]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"75","K00090","glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"76","K00091","dihydroflavonol-4-reductase [EC:1.1.1.219]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"77","K00094","galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]","Metabolism; Carbohydrate metabolism; Galactose metabolism"
"78","K00096","glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"79","K00097","4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]","Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism"
"80","K00098","L-idonate 5-dehydrogenase [EC:1.1.1.264]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"81","K00099","1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis"
"82","K00100","butanol dehydrogenase [EC:1.1.1.-]","Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"83","K00101","L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"84","K00102","D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"85","K00103","L-gulonolactone oxidase [EC:1.1.3.8]","Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism"
"86","K00104","glycolate oxidase [EC:1.1.3.15]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"87","K00105","alpha-glycerophosphate oxidase [EC:1.1.3.21]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"88","K00106","xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]","Metabolism; Nucleotide metabolism; Purine metabolism | Metabolism; Biosynthesis of other secondary metabolites; Caffeine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes | Cellular Processes; Transport and catabolism; Peroxisome | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"89","K00107","D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"90","K00108","choline dehydrogenase [EC:1.1.99.1]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"91","K00109","2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]","Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"92","K00111","glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"93","K00112","glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"94","K00113","glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]","Metabolism; Lipid metabolism; Glycerophospholipid metabolism"
"95","K00114","alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation"
"96","K00115","glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"97","K00116","malate dehydrogenase (quinone) [EC:1.1.5.4]","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle) | Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"98","K00117","quinoprotein glucose dehydrogenase [EC:1.1.5.2]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"99","K00118","glucose-fructose oxidoreductase [EC:1.1.99.28]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"100","K00121","S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Methane metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"101","K00122","formate dehydrogenase [EC:1.17.1.9]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"102","K00123","formate dehydrogenase major subunit [EC:1.17.1.9]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"103","K00124","formate dehydrogenase iron-sulfur subunit","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"104","K00125","formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]","Metabolism; Energy metabolism; Methane metabolism"
"105","K00126","formate dehydrogenase subunit delta [EC:1.17.1.9]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"106","K00127","formate dehydrogenase subunit gamma","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Energy metabolism; Methane metabolism"
"107","K00128","aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism | Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Lipid metabolism; Fatty acid degradation | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis | Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation"
"108","K00129","aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Amino acid metabolism; Histidine metabolism | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - cytochrome P450 | Human Diseases; Cancers: Overview; Chemical carcinogenesis"
"109","K00130","betaine-aldehyde dehydrogenase [EC:1.2.1.8]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism"
"110","K00131","glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"111","K00132","acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"112","K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism | Metabolism; Amino acid metabolism; Cysteine and methionine metabolism | Metabolism; Amino acid metabolism; Lysine biosynthesis | Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis"
"113","K00134","glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms | Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Human Diseases; Neurodegenerative diseases; Alzheimer disease | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"114","K00135","succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Tyrosine metabolism | Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism"
"115","K00137","aminobutyraldehyde dehydrogenase [EC:1.2.1.19]","Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
"116","K00138","aldehyde dehydrogenase [EC:1.2.1.-]","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis | Metabolism; Carbohydrate metabolism; Pyruvate metabolism"
"117","K00139","succinate-semialdehyde dehydrogenase [EC:1.2.1.24]","Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism"
"118","K00140","malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism"
"119","K00141","benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]","Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation | Metabolism; Xenobiotics biodegradation and metabolism; Toluene degradation | Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation"
"120","K00142","acyl-CoA synthetase [EC:6.2.1.-]","Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins"
"121","K00143","L-2-aminoadipate reductase [EC:1.2.1.95]","Metabolism; Amino acid metabolism; Lysine biosynthesis"
"122","K00145","N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]","Metabolism; Amino acid metabolism; Arginine biosynthesis"
"123","K00146","phenylacetaldehyde dehydrogenase [EC:1.2.1.39]","Metabolism; Amino acid metabolism; Phenylalanine metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation"
"124","K00147","glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]","Metabolism; Amino acid metabolism; Arginine and proline metabolism | Metabolism; Biosynthesis of other secondary metabolites; Carbapenem biosynthesis"
