"","Short_label","Observed","Shannon","InvSimpson","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","lib_size_clean","is.neg","even"
"18","LB3",27,1.75837812432588,3.79842651982822,"L_D8_B_MMO.1","Larvae",5,"6/30/23",8,"B_MMO.1","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",69866,59138,FALSE,0.533514914667978
"19","LB4",20,1.46022872475685,2.9786513286126,"L_D8_B_MMO.2","Larvae",5,"6/30/23",8,"B_MMO.2","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",55250,47155,FALSE,0.487436323214725
"20","LB5",21,1.76449627722859,3.79446402046886,"L_D8_B_MMO.3","Larvae",5,"6/30/23",8,"B_MMO.3","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",62607,52180,FALSE,0.579564221752958
"21","LB6",20,1.64358387202084,3.29179110487476,"L_D8_B_MMO.4","Larvae",5,"6/30/23",8,"B_MMO.4","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",79263,66273,FALSE,0.548641775011147
"22","LB7",12,1.40850314949144,2.78460648935587,"L_D8_B_MMO.5","Larvae",5,"6/30/23",8,"B_MMO.5","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",83117,70582,FALSE,0.566823365220424
"23","LB8",21,1.26015062894754,1.94779212526761,"L_D8_B_EMO.1","Larvae",5,"6/30/23",8,"B_EMO.1","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",43588,37805,FALSE,0.413907486222973
"24","LB9",21,1.58071293779457,3.10346779450162,"L_D8_B_EMO.2","Larvae",5,"6/30/23",8,"B_EMO.2","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",40579,35942,FALSE,0.519198977878633
"25","LH1",6,0.520367463600353,1.29219028601974,"L_D6_Hatch_flask","Larvae",10,"6/28/23",6,"Hatch_flask","Hatch_flask","None_hatch","Hatching flask","Hatching flask","Hatching flask","This sample tube contains extra L1 larvae prepared a day after in case the first tube (the one with issues with L1s sticking to the tube walls) was not enough.",70837,58630,FALSE,0.290422611146876
"26","LL1",3,0.57405488495721,1.60413595785283,"L_D8_L_larvae","Larvae",5,"6/30/23",8,"L_larvae","L_larvae","None_larvae","Larval food","Additional control","Larvae & food only","",29615,26906,FALSE,0.522527274524809
"27","LL10",23,1.97938434609127,4.82677573420514,"L_D8_L_EMO.3","Larvae",5,"6/30/23",8,"L_EMO.3","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",55881,48938,FALSE,0.631283048150899
"28","LL11",30,2.13864921987679,5.20904587570239,"L_D8_L_EMO.4","Larvae",5,"6/30/23",8,"L_EMO.4","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",59663,51121,FALSE,0.628793033714391
"29","LL12",22,1.94240564256927,4.27529704057646,"L_D8_L_EMO.5","Larvae",5,"6/30/23",8,"L_EMO.5","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",39221,33572,FALSE,0.628398241654335
"30","LL13",5,0.100198352658954,1.03252680599236,"L_D8_L_ECO.1","Larvae",5,"6/30/23",8,"L_ECO.1","L_ECO","ECO","Larval food","Experiment","E. coli only","",51457,47223,FALSE,0.0622567368923324
"31","LL14",3,0.276999205042498,1.15168974712624,"L_D8_L_ECO.2","Larvae",5,"6/30/23",8,"L_ECO.2","L_ECO","ECO","Larval food","Experiment","E. coli only","",90315,80370,FALSE,0.252135542174132
"32","LL15",3,0.171281659050851,1.0781414177778,"L_D8_L_ECO.3","Larvae",5,"6/30/23",8,"L_ECO.3","L_ECO","ECO","Larval food","Experiment","E. coli only","",83512,74653,FALSE,0.155907284869808
"33","LL16",3,0.105032156731536,1.03810172773931,"L_D8_L_ECO.4","Larvae",5,"6/30/23",8,"L_ECO.4","L_ECO","ECO","Larval food","Experiment","E. coli only","",60309,55705,FALSE,0.0956043891142617
"34","LL17",3,0.159966617574226,1.06826635267738,"L_D8_L_ECO.5","Larvae",5,"6/30/23",8,"L_ECO.5","L_ECO","ECO","Larval food","Experiment","E. coli only","",54799,49886,FALSE,0.145607890266874
"35","LL18",24,1.2843259057526,2.05195274842464,"L_D8_L_MEM.1","Larvae",5,"6/30/23",8,"L_MEM.1","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",87019,74105,FALSE,0.404123395736184
"36","LL19",25,1.49589033244618,2.53562023801535,"L_D8_L_MEM.2","Larvae",4,"6/30/23",8,"L_MEM.2","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",91113,77778,FALSE,0.464724460909403
"37","LL2",2,0.589595372458167,1.66687551021337,"L_D8_L_AHK.1","Larvae",5,"6/30/23",8,"L_AHK.1","L_AHK","AHK","Larval food","Experiment","All heat-killed microbes","",51522,46691,FALSE,0.850606319976478
"38","LL20",27,1.80948963387201,3.56530451350126,"L_D8_L_MEM.3","Larvae",5,"6/30/23",8,"L_MEM.3","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",54597,45323,FALSE,0.54902281497498
"39","LL21",32,2.46326431471843,7.5405071574924,"L_D8_L_MEM.4","Larvae",2,"6/30/23",8,"L_MEM.4","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",54577,43276,FALSE,0.710747842248606
"40","LL22",26,1.69526724865714,3.39144720418345,"L_D8_L_MEM.5","Larvae",5,"6/30/23",8,"L_MEM.5","L_MEM","MEM","Larval food","Experiment","Mosquito & environmental microbes","",50438,43132,FALSE,0.520324437558444
"41","LL23",11,0.377394350966282,1.14727893289099,"L_D8_L_ALL.1","Larvae",5,"6/30/23",8,"L_ALL.1","L_ALL","ALL","Larval food","Experiment","All live microbes","",55042,51181,FALSE,0.15738566869347
"42","LL24",17,1.31794244001397,2.67822392897523,"L_D8_L_ALL.2","Larvae",5,"6/30/23",8,"L_ALL.2","L_ALL","ALL","Larval food","Experiment","All live microbes","",52771,45218,FALSE,0.465175855104196
"43","LL25",16,1.02862208177365,1.72492285947779,"L_D8_L_ALL.3","Larvae",5,"6/30/23",8,"L_ALL.3","L_ALL","ALL","Larval food","Experiment","All live microbes","",66477,58885,FALSE,0.370996994080932
"44","LL26",25,1.51938944237759,2.4932403727171,"L_D8_L_ALL.4","Larvae",5,"6/30/23",8,"L_ALL.4","L_ALL","ALL","Larval food","Experiment","All live microbes","",97749,81650,FALSE,0.472024869875122
"45","LL27",26,2.33287586816332,7.28915584832833,"L_D8_L_ALL.5","Larvae",5,"6/30/23",8,"L_ALL.5","L_ALL","ALL","Larval food","Experiment","All live microbes","",99386,78211,FALSE,0.716024169615301
"46","LL3",14,1.68656468706179,4.15229213875356,"L_D8_L_MMO.1","Larvae",5,"6/30/23",8,"L_MMO.1","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",101981,85741,FALSE,0.639078457347372
"47","LL4",17,1.20808813209331,2.46088677029412,"L_D8_L_MMO.2","Larvae",5,"6/30/23",8,"L_MMO.2","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",83175,68897,FALSE,0.426402104390673
"48","LL5",13,0.587283088684142,1.29909482106055,"L_D8_L_MMO.3","Larvae",5,"6/30/23",8,"L_MMO.3","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",44031,37962,FALSE,0.228964789100304
"49","LL6",14,1.24951776283491,2.67398032276938,"L_D8_L_MMO.4","Larvae",5,"6/30/23",8,"L_MMO.4","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",90456,75795,FALSE,0.473471246271513
"50","LL7",14,1.48532640568201,3.57955304341897,"L_D8_L_MMO.5","Larvae",5,"6/30/23",8,"L_MMO.5","L_MMO","MMO","Larval food","Experiment","Mosquito microbes only","",47330,40971,FALSE,0.562824607489125
"51","LL8",25,2.01028347441685,4.37910127458156,"L_D8_L_EMO.1","Larvae",5,"6/30/23",8,"L_EMO.1","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",101732,86081,FALSE,0.624529675511531
"52","LL9",27,1.8514833144286,3.06832738690655,"L_D8_L_EMO.2","Larvae",5,"6/30/23",8,"L_EMO.2","L_EMO","EMO","Larval food","Experiment","Environmental microbes only","",111660,95539,FALSE,0.561764246745993
"53","M1",2,0.691061591245718,1.9916980487758,"M_D0_Microbe_stock_ecoli","Microbe Stock",NA,"6/22/23",0,"Microbe_stock_ecoli","Microbe_stock_ecoli","E. coli","Microbe stock","Microbe stock","E. coli stock","",63554,55311,FALSE,0.996991130639033
"54","M2",26,1.89731547372747,4.54394657872232,"M_D0_Microbe_stock_mosq","Microbe Stock",NA,"6/22/23",0,"Microbe_stock_mosq","Microbe_stock_mosq","Mosquito microbes","Microbe stock","Microbe stock","Mosquito microbes stock","",31740,22433,FALSE,0.582338629806113
"55","M3",72,3.40777322463539,15.3892721179544,"M_D0_Microbe_stock_brom","Microbe Stock",NA,"6/22/23",0,"Microbe_stock_brom","Microbe_stock_brom","Env. microbes","Microbe stock","Microbe stock","Environmental microbes stock","",62671,38106,FALSE,0.796829382935187
"56","WB1",2,0.0846146024060837,1.03381182373289,"W_D5_Lab_water","Water",NA,"6/27/23",5,"Lab_water","Lab_water","None_labwater","Lab water","Lab water","Lab water","Sterile/autoclaved water from 06/22/23",63140,48468,FALSE,0.122073067278048
"57","WB10",28,2.23289717439852,6.58896005728247,"W_D5_B_MMO.4","Water",NA,"6/27/23",5,"B_MMO.4","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",154756,113760,FALSE,0.670096078310967
"58","WB11",26,1.99446474499322,4.9092695095753,"W_D5_B_MMO.5","Water",NA,"6/27/23",5,"B_MMO.5","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",150697,114299,FALSE,0.61215642990259
"59","WB12",22,1.98784405353852,4.47359160422425,"W_D5_B_MMO+","Water",NA,"6/27/23",5,"B_MMO+","B_MMO+","MMO","Bamboo","Additional control","No larvae - mosquito microbes","",114495,50324,FALSE,0.643098269769407
"60","WB13",51,2.70173297992304,8.17920740925276,"W_D5_B_EMO.1","Water",NA,"6/27/23",5,"B_EMO.1","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",193555,145516,FALSE,0.687144658053167
"61","WB14",61,3.13344662739889,13.7010636725667,"W_D5_B_EMO.2","Water",NA,"6/27/23",5,"B_EMO.2","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",166592,124934,FALSE,0.762233707705606
"62","WB15",59,2.99248360179727,11.6230189479112,"W_D5_B_EMO.3","Water",NA,"6/27/23",5,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",121161,90964,FALSE,0.733894818371278
"63","WB16",54,3.04173337168427,13.1626007620852,"W_D5_B_EMO.4","Water",NA,"6/27/23",5,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",151569,111883,FALSE,0.762533350892723
"64","WB17",53,3.02512189493873,11.0288603436959,"W_D5_B_EMO.5","Water",NA,"6/27/23",5,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",159928,119584,FALSE,0.761939414231189
"65","WB18",53,3.00785040829442,11.4234461767515,"W_D5_B_EMO+","Water",NA,"6/27/23",5,"B_EMO+","B_EMO+","EMO","Bamboo","Additional control","No larvae - environmental microbes","",228989,166362,FALSE,0.75758923368518
"66","WB19",4,0.56146637800709,1.55521665024518,"W_D5_B_ECO.1","Water",NA,"6/27/23",5,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",147700,127540,FALSE,0.405012379588358
"67","WB20",5,0.601633790468602,1.5964639737829,"W_D5_B_ECO.2","Water",NA,"6/27/23",5,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",135746,115650,FALSE,0.37381609182966
"68","WB21",4,0.631349278972776,1.59559684903064,"W_D5_B_ECO.3","Water",NA,"6/27/23",5,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",124189,108760,FALSE,0.455422236921424
"69","WB22",5,0.643109152840422,1.66648944427431,"W_D5_B_ECO.4","Water",NA,"6/27/23",5,"B_ECO.4","B_ECO","ECO","Bamboo","Experiment","E. coli only","",122674,105609,FALSE,0.399586183394791
"70","WB23",5,0.807423960841805,1.80747113215471,"W_D5_B_ECO.5","Water",NA,"6/27/23",5,"B_ECO.5","B_ECO","ECO","Bamboo","Experiment","E. coli only","",100709,88320,FALSE,0.501680713871505
"71","WB24",2,0.0498420993694119,1.01750990205261,"W_D5_B_ECO+","Water",NA,"6/27/23",5,"B_ECO+","B_ECO+","ECO","Bamboo","Additional control","No larvae - E. coli","",75079,67284,FALSE,0.0719069495877455
"72","WB25",52,2.47828694983064,6.44405494295966,"W_D5_B_MEM.1","Water",NA,"6/27/23",5,"B_MEM.1","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",198167,150949,FALSE,0.627216928729568
"73","WB26",64,2.99225433144353,9.92807066376615,"W_D5_B_MEM.2","Water",NA,"6/27/23",5,"B_MEM.2","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",204624,152315,FALSE,0.719485080842017
"74","WB27",36,2.02855065348632,4.73138224241408,"W_D5_B_MEM.3","Water",NA,"6/27/23",5,"B_MEM.3","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",197298,157596,FALSE,0.566077838104096
"75","WB28",49,2.42162653739665,5.92413577928683,"W_D5_B_MEM.4","Water",NA,"6/27/23",5,"B_MEM.4","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",147391,115387,FALSE,0.622234931703369
"76","WB29",60,3.15939437469816,13.8509942212422,"W_D5_B_MEM.5","Water",NA,"6/27/23",5,"B_MEM.5","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",162113,124640,FALSE,0.771648386374078
"77","WB30",60,2.6323611744532,5.44657359698042,"W_D5_B_MEM+","Water",NA,"6/27/23",5,"B_MEM+","B_MEM+","MEM","Bamboo","Additional control","No larvae - mosquito & environmental microbes","",177379,128349,FALSE,0.642926147140032
"78","WB31",55,2.53149662052763,4.88783396577398,"W_D5_B_ALL.1","Water",NA,"6/27/23",5,"B_ALL.1","B_ALL","ALL","Bamboo","Experiment","All live microbes","",210029,163296,FALSE,0.631716032461816
"79","WB32",64,3.14033673419088,12.109447036838,"W_D5_B_ALL.2","Water",NA,"6/27/23",5,"B_ALL.2","B_ALL","ALL","Bamboo","Experiment","All live microbes","",266325,210286,FALSE,0.755091372189771
"80","WB33",52,2.61614857188517,6.96270668065378,"W_D5_B_ALL.3","Water",NA,"6/27/23",5,"B_ALL.3","B_ALL","ALL","Bamboo","Experiment","All live microbes","",332097,255207,FALSE,0.662107619325597
"81","WB34",50,2.65527429689806,8.29497811299357,"W_D5_B_ALL.4","Water",NA,"6/27/23",5,"B_ALL.4","B_ALL","ALL","Bamboo","Experiment","All live microbes","",238232,195031,FALSE,0.678747106858453
"82","WB35",53,2.59431232721596,6.97135212844276,"W_D5_B_ALL.5","Water",NA,"6/27/23",5,"B_ALL.5","B_ALL","ALL","Bamboo","Experiment","All live microbes","",162232,125854,FALSE,0.653431128920415
"83","WB36",50,2.34732406550551,5.44856525333351,"W_D5_B_ALL+","Water",NA,"6/27/23",5,"B_ALL+","B_ALL+","ALL","Bamboo","Additional control","No larvae - all live microbes","",86077,65214,FALSE,0.600028185480625
"84","WB37",5,1.39791220480852,3.75913106859928,"W_D20_B_larvae","Water",NA,"7/12/23",20,"B_larvae","B_larvae","None_larvae","Bamboo","Additional control","Larvae & food only","",70004,45732,FALSE,0.868571688294781
"85","WB38",3,0.687944655661018,1.65112824713464,"W_D20_B_food","Water",NA,"7/12/23",20,"B_food","B_food","None_food","Bamboo","Additional control","Food only","",91154,75147,FALSE,0.626194211330951
"86","WB4",2,0.00880490311240137,1.00226488345609,"W_D5_B_food","Water",NA,"6/27/23",5,"B_food","B_food","None_food","Bamboo","Additional control","Food only","",83833,76028,FALSE,0.0127027900557693
"87","WB40",3,0.904129127636918,2.28961484073278,"W_D20_B_AHK.1","Water",NA,"7/12/23",20,"B_AHK.1","B_AHK","AHK","Bamboo","Experiment","All heat-killed microbes","",45843,30035,FALSE,0.822973797911025
"88","WB41",53,2.95988002898392,12.7377219481808,"W_D20_B_MMO.1","Water",NA,"7/12/23",20,"B_MMO.1","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",90585,63727,FALSE,0.745506903127379
"89","WB42",62,2.98124097807603,9.47299667411392,"W_D20_B_MMO.2","Water",NA,"7/12/23",20,"B_MMO.2","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",142302,101289,FALSE,0.722351321749718
"90","WB43",45,1.65415158321153,2.13259099751094,"W_D20_B_MMO.3","Water",NA,"7/12/23",20,"B_MMO.3","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",142075,115552,FALSE,0.434541172918992
"91","WB44",52,2.90311019522142,11.4635042319779,"W_D20_B_MMO.4","Water",NA,"7/12/23",20,"B_MMO.4","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",141822,98932,FALSE,0.734733264255258
"92","WB45",39,2.3724008686407,5.46899847692159,"W_D20_B_MMO.5","Water",NA,"7/12/23",20,"B_MMO.5","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",120582,91958,FALSE,0.647566793682048
"93","WB46",32,2.40629502298572,7.02420746863217,"W_D20_B_MMO+","Water",NA,"7/12/23",20,"B_MMO+","B_MMO+","MMO","Bamboo","Additional control","No larvae - mosquito microbes","",136799,72842,FALSE,0.694309979315458
"94","WB47",98,3.81358598897175,24.9177161496581,"W_D20_B_EMO.1","Water",NA,"7/12/23",20,"B_EMO.1","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",114290,89773,FALSE,0.831758569000257
"95","WB48",91,3.36672203224271,14.281149059348,"W_D20_B_EMO.2","Water",NA,"7/12/23",20,"B_EMO.2","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",134593,99910,FALSE,0.746359319632721
"96","WB49",99,3.50570026539918,15.6618751081212,"W_D20_B_EMO.3","Water",NA,"7/12/23",20,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",91941,73241,FALSE,0.762918134833088
"97","WB5",4,0.369351761110005,1.21591429125142,"W_D5_B_AHK.1","Water",NA,"6/27/23",5,"B_AHK.1","B_AHK","AHK","Bamboo","Experiment","All heat-killed microbes","",91658,80964,FALSE,0.266430977048505
"98","WB50",91,3.55914763368446,17.3157997010483,"W_D20_B_EMO.4","Water",NA,"7/12/23",20,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",151644,109430,FALSE,0.78901762037646
"99","WB51",94,3.55208693119215,18.8303419084895,"W_D20_B_EMO.5","Water",NA,"7/12/23",20,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",90710,68817,FALSE,0.781830610035255
"100","WB52",94,3.50577704598203,16.0560376297653,"W_D20_B_EMO+","Water",NA,"7/12/23",20,"B_EMO+","B_EMO+","EMO","Bamboo","Additional control","No larvae - environmental microbes","",136381,103706,FALSE,0.771637592097956
"101","WB53",4,0.985138960193085,2.38683786153113,"W_D20_B_ECO.1","Water",NA,"7/12/23",20,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",70965,52791,FALSE,0.710627546228537
"102","WB54",5,0.749877381751331,1.76271601674673,"W_D20_B_ECO.2","Water",NA,"7/12/23",20,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",71826,56831,FALSE,0.465925013918196
"103","WB55",5,1.42165513373366,3.85015019105859,"W_D20_B_ECO.3","Water",NA,"7/12/23",20,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",104622,74171,FALSE,0.883323999484741
"104","WB56",5,1.40222992172695,3.77213337051331,"W_D20_B_ECO.4","Water",NA,"7/12/23",20,"B_ECO.4","B_ECO","ECO","Bamboo","Experiment","E. coli only","",143682,101698,FALSE,0.871254436653747
"105","WB57",5,1.28659652095037,3.27708158525173,"W_D20_B_ECO.5","Water",NA,"7/12/23",20,"B_ECO.5","B_ECO","ECO","Bamboo","Experiment","E. coli only","",102762,76342,FALSE,0.799407365149324
"106","WB58",2,0.0458589254241915,1.0158185996755,"W_D20_B_ECO+","Water",NA,"7/12/23",20,"B_ECO+","B_ECO+","ECO","Bamboo","Additional control","No larvae - E. coli","",101372,89835,FALSE,0.0661604442899779
"107","WB59",97,3.24480738972422,8.19434491538388,"W_D20_B_MEM.1","Water",NA,"7/12/23",20,"B_MEM.1","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",66999,54153,FALSE,0.709292325782241
"108","WB6",5,0.473546651060756,1.25685191670626,"W_D5_B_larvae","Water",NA,"6/27/23",5,"B_larvae","B_larvae","None_larvae","Bamboo","Additional control","Larvae & food only","",65165,57996,FALSE,0.294231077447758
"109","WB60",105,3.63878618535411,17.7469484754276,"W_D20_B_MEM.2","Water",NA,"7/12/23",20,"B_MEM.2","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",128894,96481,FALSE,0.7818687551197
"110","WB61",91,3.02114741350033,7.3632670250861,"W_D20_B_MEM.3","Water",NA,"7/12/23",20,"B_MEM.3","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",121032,91344,FALSE,0.66974983573212
"111","WB62",104,3.55493551280676,15.1460404060157,"W_D20_B_MEM.4","Water",NA,"7/12/23",20,"B_MEM.4","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",164334,118737,FALSE,0.765425561716602
"112","WB63",91,3.08126675977713,8.39141296959752,"W_D20_B_MEM.5","Water",NA,"7/12/23",20,"B_MEM.5","B_MEM","MEM","Bamboo","Experiment","Mosquito & environmental microbes","",104178,81896,FALSE,0.683077527758428
"113","WB64",79,3.19315326333211,11.1581453125678,"W_D20_B_MEM+","Water",NA,"7/12/23",20,"B_MEM+","B_MEM+","MEM","Bamboo","Additional control","No larvae - mosquito & environmental microbes","",117541,82726,FALSE,0.730791022378086
"114","WB65",107,3.72126235836516,22.5434892273851,"W_D20_B_ALL.1","Water",NA,"7/12/23",20,"B_ALL.1","B_ALL","ALL","Bamboo","Experiment","All live microbes","",164239,116247,FALSE,0.796361795005418
"115","WB66",100,3.1615903464662,7.49401539342322,"W_D20_B_ALL.2","Water",NA,"7/12/23",20,"B_ALL.2","B_ALL","ALL","Bamboo","Experiment","All live microbes","",134307,99764,FALSE,0.686530620754431
"116","WB67",86,3.36854868573064,11.0694014639688,"W_D20_B_ALL.3","Water",NA,"7/12/23",20,"B_ALL.3","B_ALL","ALL","Bamboo","Experiment","All live microbes","",119012,74518,FALSE,0.756238447900972
"117","WB68",97,3.23725111816135,9.527233469074,"W_D20_B_ALL.4","Water",NA,"7/12/23",20,"B_ALL.4","B_ALL","ALL","Bamboo","Experiment","All live microbes","",123522,90865,FALSE,0.707640577377069
"118","WB69",101,3.84603267365383,27.3055127221617,"W_D20_B_ALL.5","Water",NA,"7/12/23",20,"B_ALL.5","B_ALL","ALL","Bamboo","Experiment","All live microbes","",142364,96160,FALSE,0.833354764977227
"119","WB7",26,2.1356855690209,5.3215745549214,"W_D5_B_MMO.1","Water",NA,"6/27/23",5,"B_MMO.1","B_MMO","MMO","Bamboo","Experiment","Mosquito microbes only","",133173,75733,FALSE,0.655501009284956
"120","WB70",62,2.999323882784,11.837192985547,"W_D20_B_ALL+","Water",NA,"7/12/23",20,"B_ALL+","B_ALL+","ALL","Bamboo","Additional control","No larvae - all live microbes","",170574,108148,FALSE,0.726732789136264
