"","Pathway","mean_BvL","n_genes"
"35","Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series",0.871492892617087,3
"36","Metabolism; Biosynthesis of other secondary metabolites; Caffeine metabolism",0.853891198201459,2
"37","Metabolism; Metabolism of terpenoids and polyketides; Tetracycline biosynthesis",0.850869314809614,5
"38","Organismal Systems; Digestive system; Carbohydrate digestion and absorption",0.844729841341658,2
"39","Metabolism; Lipid metabolism; Primary bile acid biosynthesis",0.816417398594208,4
"40","Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum",0.803317012172911,7
"41","Human Diseases; Infectious diseases: Bacterial; Tuberculosis",0.800417031789127,8
"42","Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis",0.792309624005353,5
"43","Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation",0.785690515565876,14
"44","Metabolism; Metabolism of terpenoids and polyketides; Type I polyketide structures",0.775885954857602,16
"45","Metabolism; Biosynthesis of other secondary metabolites; Acarbose and validamycin biosynthesis",0.760243310384674,4
"46","Metabolism; Xenobiotics biodegradation and metabolism; Polycyclic aromatic hydrocarbon degradation",0.712008048683072,10
"47","Metabolism; Metabolism of other amino acids; Cyanoamino acid metabolism",0.700976223367735,9
"48","Organismal Systems; Nervous system; Glutamatergic synapse",0.693192848437862,3
"49","Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system",0.692770739018532,5
"50","Genetic Information Processing; Replication and repair; Non-homologous end-joining",0.665040803843997,2
"51","Metabolism; Xenobiotics biodegradation and metabolism; Aminobenzoate degradation",0.662677991663697,42
"52","Not Included in Pathway or Brite; Unclassified: metabolism; Others",0.655849937065029,4
"53","Human Diseases; Infectious diseases: Parasitic; Amoebiasis",0.636406497195759,2
"54","Metabolism; Xenobiotics biodegradation and metabolism; Xylene degradation",0.633020679703318,24
"55","Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation",0.63218181370885,10
"56","Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking",0.62484049281234,25
"57","Metabolism; Carbohydrate metabolism; Galactose metabolism",0.610651907770787,40
"58","Not Included in Pathway or Brite; Unclassified: metabolism; Glycan metabolism",0.604280402406842,12
"59","Metabolism; Xenobiotics biodegradation and metabolism; Fluorobenzoate degradation",0.601206665433574,10
"60","Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450",0.588474052765083,10
"61","Environmental Information Processing; Membrane transport; ABC transporters",0.574211020224429,301
"62","Human Diseases; Cancers: Overview; Chemical carcinogenesis",0.564944899894326,8
"63","Metabolism; Xenobiotics biodegradation and metabolism; Styrene degradation",0.556347404836066,16
"64","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation",0.554339078931481,40
"65","Cellular Processes; Transport and catabolism; Phagosome",0.543738730440159,2
"66","Organismal Systems; Endocrine system; Insulin signaling pathway",0.542279204680824,6
"67","Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis",0.520620859904319,9
"68","Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism",0.51320456304658,16
"69","Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis",0.511811643331549,27
"70","Organismal Systems; Endocrine system; Thyroid hormone synthesis",0.51136074858119,3
"71","Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism",0.506431212917025,70
"72","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway",0.484564785029648,49
"73","Environmental Information Processing; Signal transduction; Plant hormone signal transduction",0.480409992404161,3
"74","Metabolism; Glycan biosynthesis and metabolism; Other types of O-glycan biosynthesis",0.479184373328498,2
"75","Human Diseases; Cancers: Specific types; Hepatocellular carcinoma",0.46429006684879,2
"76","Organismal Systems; Endocrine system; PPAR signaling pathway",0.444884503350744,9
"77","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism",0.432510237849606,69
"78","Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism",0.426608911405222,31
"79","Metabolism; Glycan biosynthesis and metabolism; Lipoarabinomannan (LAM) biosynthesis",0.414458064101325,5
"80","Cellular Processes; Transport and catabolism; Peroxisome",0.407899205646826,27
"81","Metabolism; Metabolism of cofactors and vitamins; Vitamin B6 metabolism",0.405721562195276,14
"82","Environmental Information Processing; Signal transduction; HIF-1 signaling pathway",0.405071794813749,4
"83","Metabolism; Xenobiotics biodegradation and metabolism; Benzoate degradation",0.403529361978457,70
"84","Metabolism; Nucleotide metabolism; Purine metabolism",0.397112423005117,100
"85","Brite Hierarchies; Protein families: signaling and cellular processes; Glycosylphosphatidylinositol (GPI)-anchored proteins",0.396794755227436,4
"86","Organismal Systems; Endocrine system; Glucagon signaling pathway",0.393496367817284,7
"87","Metabolism; Amino acid metabolism; Tryptophan metabolism",0.386949177679246,30
"88","Metabolism; Lipid metabolism; Ether lipid metabolism",0.386191406586453,7
"89","Organismal Systems; Environmental adaptation; Thermogenesis",0.380706592748126,15
"90","Human Diseases; Cancers: Overview; Central carbon metabolism in cancer",0.368552095850237,7
"91","Organismal Systems; Nervous system; Retrograde endocannabinoid signaling",0.368454181292548,4
"92","Metabolism; Xenobiotics biodegradation and metabolism; Steroid degradation",0.368418547697789,14
"93","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases",0.366653737011339,107
"94","Metabolism; Lipid metabolism; Fatty acid degradation",0.365574889364212,27
"95","Metabolism; Amino acid metabolism; Tyrosine metabolism",0.345416609085937,36
"96","Metabolism; Lipid metabolism; Glycerolipid metabolism",0.344124918960659,30
"97","Metabolism; Lipid metabolism; Sphingolipid metabolism",0.343660586467411,11
"98","Metabolism; Amino acid metabolism; Arginine and proline metabolism",0.33990678341804,60
"99","Metabolism; Metabolism of cofactors and vitamins; Lipoic acid metabolism",0.333475672102605,3
"100","Organismal Systems; Aging; Longevity regulating pathway",0.332931034114636,2
"101","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism",0.326245008683864,19
"102","Human Diseases; Cancers: Overview; Pathways in cancer",0.320603592108235,6
"103","Metabolism; Energy metabolism; Methane metabolism",0.302470531206893,96
"104","Cellular Processes; Cell growth and death; Ferroptosis",0.300700943484795,2
"105","Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism",0.294275200113252,21
"106","Cellular Processes; Cellular community - prokaryotes; Quorum sensing",0.293370360315314,122
"107","Metabolism; Metabolism of other amino acids; Phosphonate and phosphinate metabolism",0.274997527636952,16
"108","Human Diseases; Cancers: Overview; MicroRNAs in cancer",0.26387635033046,2
"109","Metabolism; Amino acid metabolism; Cysteine and methionine metabolism",0.258784539642046,62
"110","Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis",0.244134650998627,14
"111","Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies",0.243467010526806,7
"112","Metabolism; Amino acid metabolism; Arginine biosynthesis",0.238615909539804,32
"113","Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism",0.232325625735699,46
"114","Cellular Processes; Cell growth and death; Meiosis - yeast",0.230008177239903,2
"115","Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis",0.22871778709035,37
"116","Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism",0.212464453655717,69
"117","Human Diseases; Endocrine and metabolic diseases; Insulin resistance",0.206479272963939,5
"118","Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan biosynthesis - heparan sulfate / heparin",0.205770698320566,2
"119","Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis",0.205638849120604,59
"120","Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes",0.203050328514488,17
"121","Genetic Information Processing; Transcription; RNA polymerase",0.199997853321875,6
"122","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism",0.19660992043583,71
"123","Metabolism; Carbohydrate metabolism; Propanoate metabolism",0.193472867072298,63
"124","Metabolism; Amino acid metabolism; Lysine biosynthesis",0.188122930591235,22
"125","Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism",0.18454746412138,41
"126","Environmental Information Processing; Signal transduction; FoxO signaling pathway",0.173254197101727,3
"127","Human Diseases; Cancers: Overview; Viral carcinogenesis",0.170454503064702,4
"128","Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism",0.166917492212289,10
"129","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters",0.163698497012626,808
"130","Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes",0.157649706756159,70
"131","Metabolism; Nucleotide metabolism; Pyrimidine metabolism",0.153789796694554,62
"132","Human Diseases; Neurodegenerative diseases; Alzheimer disease",0.150962086383977,8
"133","Organismal Systems; Aging; Longevity regulating pathway - multiple species",0.147402581768377,5
"134","Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms",0.144972975393676,23
"135","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of vancomycin group antibiotics",0.144644611344139,4
"136","Human Diseases; Drug resistance: Antineoplastic; Antifolate resistance",0.138541570396612,5
"137","Organismal Systems; Environmental adaptation; Plant-pathogen interaction",0.130955309438147,8
"138","Metabolism; Metabolism of cofactors and vitamins; One carbon pool by folate",0.128487960618752,16
"139","Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins",0.128075838510291,61
"140","Metabolism; Amino acid metabolism; Histidine metabolism",0.120359081074988,27
"141","Not Included in Pathway or Brite; Unclassified: genetic information processing; Others",0.119668208105932,3
"142","Metabolism; Xenobiotics biodegradation and metabolism; Dioxin degradation",0.117205963112874,9
"143","Organismal Systems; Digestive system; Bile secretion",0.11196522444079,2
"144","Brite Hierarchies; Protein families: signaling and cellular processes; Exosome",0.110808643007547,68
"145","Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins",0.104346034299851,78
"146","Metabolism; Metabolism of cofactors and vitamins; Ubiquinone and other terpenoid-quinone biosynthesis",0.0976621046366091,31
"147","Genetic Information Processing; Replication and repair; DNA replication",0.0974436280816758,21
"148","Metabolism; Amino acid metabolism; Phenylalanine metabolism",0.0922578232512912,46
"149","Genetic Information Processing; Replication and repair; Nucleotide excision repair",0.0888397336703366,11
"150","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing",0.087577036535486,31
"151","Genetic Information Processing; Replication and repair; Base excision repair",0.0871454705808898,17
"152","Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis",0.0753690599193625,74
"153","Human Diseases; Infectious diseases: Bacterial; Bacterial invasion of epithelial cells",0.0507592396546665,2
"154","Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis",0.0405026641191437,31
"155","Brite Hierarchies; Protein families: metabolism; Peptidases",0.0371766457940297,165
"156","Human Diseases; Drug resistance: Antineoplastic; Platinum drug resistance",0.0341274844735391,4
"157","Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis",0.0327730139844646,23
"158","Metabolism; Lipid metabolism; Glycerophospholipid metabolism",0.0301275421869001,43
"159","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers",0.0158968504378846,427
"160","Metabolism; Amino acid metabolism; Lysine degradation",0.0122162711098645,31
"161","Brite Hierarchies; Protein families: metabolism; Prenyltransferases",0.00636867000847736,14
"162","Metabolism; Carbohydrate metabolism; Pyruvate metabolism",0.00394502931484533,77
"163","Brite Hierarchies; Protein families: genetic information processing; Ribosome",0.001323119687721,55
"164","Genetic Information Processing; Translation; Ribosome",0.001323119687721,55
"165","Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis",-0.00121004072202232,10
"166","Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids",-0.00474895312020937,8
"167","Metabolism; Lipid metabolism; Fatty acid biosynthesis",-0.00518637048947825,20
"168","Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis",-0.00545643377872602,25
"169","Not Included in Pathway or Brite; Unclassified: genetic information processing; Transcription",-0.0101392901013753,8
"170","Human Diseases; Cardiovascular diseases; Fluid shear stress and atherosclerosis",-0.0121706213809134,6
"171","Metabolism; Metabolism of other amino acids; D-Arginine and D-ornithine metabolism",-0.0147487803140366,4
"172","Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism",-0.0214894535056926,100
"173","Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins",-0.0218245213676621,92
"174","Brite Hierarchies; Protein families: genetic information processing; Transcription factors",-0.0248333876974264,297
"175","Metabolism; Biosynthesis of other secondary metabolites; Isoquinoline alkaloid biosynthesis",-0.0259902663897079,7
"176","Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis",-0.0262503981467547,10
"177","Metabolism; Energy metabolism; Oxidative phosphorylation",-0.0265804295705816,75
"178","Environmental Information Processing; Signal transduction; Phosphatidylinositol signaling system",-0.029117965328073,4
"179","Environmental Information Processing; Signal transduction; Phospholipase D signaling pathway",-0.0320913755574486,2
"180","Not Included in Pathway or Brite; Unclassified: metabolism; Cofactor metabolism",-0.0332086794199002,9
"181","Metabolism; Metabolism of other amino acids; Selenocompound metabolism",-0.0356625234646832,20
"182","Genetic Information Processing; Folding, sorting and degradation; RNA degradation",-0.0370906900254184,21
"183","Genetic Information Processing; Folding, sorting and degradation; Protein export",-0.041997586447064,20
"184","Human Diseases; Endocrine and metabolic diseases; Non-alcoholic fatty liver disease (NAFLD)",-0.0463835668754983,6
"185","Genetic Information Processing; Transcription; Basal transcription factors",-0.06830789158022,2
"186","Metabolism; Biosynthesis of other secondary metabolites; Novobiocin biosynthesis",-0.0704898105692791,10
"187","Not Included in Pathway or Brite; Poorly characterized; General function prediction only",-0.0709116578107445,94
"188","Human Diseases; Neurodegenerative diseases; Parkinson disease",-0.0717213157344646,7
"189","Brite Hierarchies; Protein families: metabolism; Lipid biosynthesis proteins",-0.0721830178344222,44
"190","Brite Hierarchies; Protein families: genetic information processing; Translation factors",-0.0796019093352718,25
"191","Cellular Processes; Transport and catabolism; Lysosome",-0.0833131687591449,15
"192","Organismal Systems; Endocrine system; Adipocytokine signaling pathway",-0.0878798380451184,2
"193","Human Diseases; Infectious diseases: Viral; Hepatitis B",-0.08791280250549,2
"194","Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection",-0.08791280250549,2
"195","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Signaling proteins",-0.0897819232127551,28
"196","Metabolism; Energy metabolism; Sulfur metabolism",-0.0918907765518683,61
"197","Metabolism; Metabolism of other amino acids; Glutathione metabolism",-0.0945530865074838,24
"198","Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes",-0.0991367978200704,56
"199","Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins",-0.108777175148481,41
"200","Metabolism; Metabolism of cofactors and vitamins; Riboflavin metabolism",-0.109557780585198,24
"201","Human Diseases; Cancers: Overview; Proteoglycans in cancer",-0.132315434926865,2
"202","Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism",-0.133814309528823,20
"203","Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system",-0.134163040491271,18
"204","Human Diseases; Neurodegenerative diseases; Huntington disease",-0.136852579083535,8
"205","Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis",-0.13780284978743,12
"206","Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins",-0.138249441376512,118
"207","Metabolism; Carbohydrate metabolism; Butanoate metabolism",-0.142353178207418,68
"208","Metabolism; Lipid metabolism; Arachidonic acid metabolism",-0.14822870978628,5
"209","Metabolism; Lipid metabolism; Secondary bile acid biosynthesis",-0.148244169664776,3
"210","Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS)",-0.156683328699451,60
"211","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins",-0.158000273765501,8
"212","Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance",-0.17138344874311,13
"213","Not Included in Pathway or Brite; Poorly characterized; Function unknown",-0.177139170813798,269
"214","Metabolism; Metabolism of cofactors and vitamins; Folate biosynthesis",-0.183375348412433,43
"215","Human Diseases; Cancers: Overview; Choline metabolism in cancer",-0.194521440325136,3
"216","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis",-0.196235021465754,85
"217","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth",-0.202614640430564,45
"218","Brite Hierarchies; Protein families: metabolism; Polyketide biosynthesis proteins",-0.209202181805295,42
"219","Human Diseases; Drug resistance: Antimicrobial; beta-Lactam resistance",-0.216359562912675,32
"220","Genetic Information Processing; Replication and repair; Mismatch repair",-0.217088393770772,24
"221","Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins",-0.219392188907349,14
"222","Metabolism; Biosynthesis of other secondary metabolites; Carbapenem biosynthesis",-0.225460450791508,3
"223","Metabolism; Glycan biosynthesis and metabolism; Glycosaminoglycan degradation",-0.232998094737163,7
"224","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis",-0.23617313103346,111
"225","Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis",-0.237689483257844,37
"226","Metabolism; Metabolism of cofactors and vitamins; Biotin metabolism",-0.250042715000114,13
"227","Human Diseases; Substance dependence; Alcoholism",-0.250286068374433,4
"228","Cellular Processes; Cell growth and death; Cell cycle - Caulobacter",-0.262527632016061,28
"229","Organismal Systems; Aging; Longevity regulating pathway - worm",-0.273086311051668,7
"230","Metabolism; Xenobiotics biodegradation and metabolism; Ethylbenzene degradation",-0.277087360025235,2
"231","Human Diseases; Neurodegenerative diseases; Amyotrophic lateral sclerosis (ALS)",-0.27907004462532,3
"232","Environmental Information Processing; Signal transduction; AMPK signaling pathway",-0.288438416810079,7
"233","Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes",-0.296246591463005,73
"234","Metabolism; Glycan biosynthesis and metabolism; Lipopolysaccharide biosynthesis",-0.302728992410853,27
"235","Genetic Information Processing; Replication and repair; Homologous recombination",-0.308275477435956,27
"236","Not Included in Pathway or Brite; Unclassified: metabolism; Secondary metabolism",-0.314642992558356,6
"237","Metabolism; Metabolism of terpenoids and polyketides; Carotenoid biosynthesis",-0.316359582764691,14
"238","Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)",-0.323203492767025,41
"239","Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts",-0.323216694829794,75
"240","Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection",-0.323935968610104,4
"241","Metabolism; Energy metabolism; Photosynthesis",-0.342647310401166,11
"242","Genetic Information Processing; Translation; Ribosome biogenesis in eukaryotes",-0.350291928783719,8
"243","Human Diseases; Infectious diseases: Parasitic; Toxoplasmosis",-0.353474977573624,2
"244","Brite Hierarchies; Protein families: genetic information processing; Transcription machinery",-0.36462378332957,40
"245","Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway",-0.368763225090543,2
"246","Metabolism; Metabolism of terpenoids and polyketides; Geraniol degradation",-0.374815239822216,12
"247","Cellular Processes; Cell growth and death; Necroptosis",-0.384503504377944,5
"248","Brite Hierarchies; Protein families: metabolism; Protein kinases",-0.387923690439733,99
"249","Metabolism; Metabolism of terpenoids and polyketides; Polyketide sugar unit biosynthesis",-0.39565410542577,12
"250","Environmental Information Processing; Signal transduction; Sphingolipid signaling pathway",-0.400893783096358,2
"251","Organismal Systems; Excretory system; Proximal tubule bicarbonate reclamation",-0.400996823507442,3
"252","Metabolism; Lipid metabolism; Fatty acid elongation",-0.401538446246132,3
"253","Human Diseases; Drug resistance: Antimicrobial; Cationic antimicrobial peptide (CAMP) resistance",-0.40356048606348,34
"254","Organismal Systems; Nervous system; Serotonergic synapse",-0.409713656620507,3
"255","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Transport",-0.410810092888653,26
"256","Metabolism; Lipid metabolism; Steroid biosynthesis",-0.423704605347424,5
"257","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others",-0.424252539579424,23
"258","Brite Hierarchies; Protein families: signaling and cellular processes; CD molecules",-0.434862740166871,2
"259","Metabolism; Xenobiotics biodegradation and metabolism; Chloroalkane and chloroalkene degradation",-0.458371565381728,18
"260","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins",-0.473879058470421,36
"261","Metabolism; Metabolism of other amino acids; D-Glutamine and D-glutamate metabolism",-0.477594693479534,7
"262","Metabolism; Lipid metabolism; Steroid hormone biosynthesis",-0.484110870162728,8
"263","Metabolism; Metabolism of other amino acids; D-Alanine metabolism",-0.484942926581056,4
"264","Human Diseases; Infectious diseases: Bacterial; Legionellosis",-0.487904619274375,7
"265","Human Diseases; Infectious diseases: Bacterial; Salmonella infection",-0.5037262756377,4
"266","Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis",-0.521190934633025,4
"267","Environmental Information Processing; Signal transduction; Two-component system",-0.525250440752415,292
"268","Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides",-0.543128180591628,13
"269","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system",-0.555361951250475,93
"270","Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system",-0.558010903173046,176
"271","Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins",-0.584185992843306,11
"272","Metabolism; Metabolism of terpenoids and polyketides; Diterpenoid biosynthesis",-0.58441417569386,2
"273","Metabolism; Xenobiotics biodegradation and metabolism; Naphthalene degradation",-0.585110019452225,10
"274","Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli",-0.594003481647301,43
"275","Not Included in Pathway or Brite; Unclassified: metabolism; Carbohydrate metabolism",-0.598959411381254,14
"276","Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa",-0.605405197643916,58
"277","Not Included in Pathway or Brite; Unclassified: genetic information processing; Translation",-0.6170772719042,4
"278","Human Diseases; Substance dependence; Amphetamine addiction",-0.628515993364452,2
"279","Human Diseases; Substance dependence; Cocaine addiction",-0.628515993364452,2
"280","Organismal Systems; Nervous system; Dopaminergic synapse",-0.628515993364452,2
"281","Environmental Information Processing; Membrane transport; Bacterial secretion system",-0.637448362396806,52
"282","Metabolism; Glycan biosynthesis and metabolism; Arabinogalactan biosynthesis - Mycobacterium",-0.665195042000696,3
"283","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell motility",-0.678604521173707,7
"284","Metabolism; Energy metabolism; Nitrogen metabolism",-0.685277354879563,38
"285","Cellular Processes; Cell growth and death; Apoptosis - fly",-0.698130838902124,3
"286","Organismal Systems; Endocrine system; Regulation of lipolysis in adipocytes",-0.716477573589594,2
"287","Genetic Information Processing; Translation; RNA transport",-0.723570252600089,3
"288","Organismal Systems; Circulatory system; Cardiac muscle contraction",-0.730175851855515,3
"289","Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae",-0.731927923606335,49
"290","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism",-0.769451168431998,83
"291","Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair",-0.82053018125588,44
"292","Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system",-0.860039552213756,182
"293","Cellular Processes; Cell growth and death; Apoptosis",-0.902622025152517,5
"294","Human Diseases; Infectious diseases: Bacterial; Pertussis",-0.930586637591895,11
"295","Brite Hierarchies; Protein families: metabolism; Photosynthesis proteins",-1.01507183878149,21
"296","Metabolism; Metabolism of terpenoids and polyketides; Nonribosomal peptide structures",-1.01548082946964,19
"297","Cellular Processes; Cell motility; Flagellar assembly",-1.09875833599534,38
"298","Metabolism; Biosynthesis of other secondary metabolites; Betalain biosynthesis",-1.13368158197183,2
"299","Organismal Systems; Endocrine system; Progesterone-mediated oocyte maturation",-1.14923118592044,2
"300","Organismal Systems; Immune system; Antigen processing and presentation",-1.29317983757114,3
"301","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Unclassified viral proteins",-1.32731827461844,3
"302","Not Included in Pathway or Brite; Unclassified: metabolism; Energy metabolism",-1.34933210414501,55
"303","Cellular Processes; Cell motility; Bacterial chemotaxis",-1.48389118808466,25
"304","Organismal Systems; Immune system; NOD-like receptor signaling pathway",-1.50862731210549,5
"305","Organismal Systems; Endocrine system; Prolactin signaling pathway",-1.51725946122197,2
"306","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins",-1.61657587157756,110
